state,county.x,city,college,cases,state_id,county_fips,lat,long
Alabama,Tuscaloosa,Tuscaloosa,University of Alabama,3219,AL,01125,33.2348,-87.5267
Alabama,Jefferson,Birmingham,University of Alabama at Birmingham,2119,AL,01073,33.5277,-86.7987
Alabama,Lee,Auburn,Auburn University,2079,AL,01081,32.6087,-85.4899
Alabama,Pike,Troy,Troy University,715,AL,01109,31.8021,-85.9665
Alabama,Jefferson,Birmingham,Samford University,461,AL,01073,33.5277,-86.7987
Alabama,Mobile,Mobile,University of South Alabama,457,AL,01097,30.6783,-88.1162
Alabama,Lauderdale,Florence,University of North Alabama,426,AL,01077,34.8303,-87.6654
Alabama,Calhoun,Jacksonville,Jacksonville State University,219,AL,01015,33.8088,-85.7545
Alabama,Jefferson,Birmingham,Birmingham-Southern College,214,AL,01073,33.5277,-86.7987
Alabama,Madison,Huntsville,University of Alabama in Huntsville,173,AL,01089,34.6988,-86.6412
Alaska,Fairbanks North Star Borough,Fairbanks,University of Alaska Fairbanks,104,AK,02090,64.8353,-147.6534
Alaska,Anchorage Municipality,Anchorage,University of Alaska Anchorage,11,AK,02020,61.1508,-149.1091
Alaska,Juneau City and Borough,Juneau,University of Alaska Southeast,1,AK,02110,58.4546,-134.1739
Alaska,North Slope Borough,Utqiagvik,Ilisagvik College,NA,AK,02185,71.2728,-156.7575
Arizona,Maricopa,Tempe,Arizona State University,2862,AZ,04013,33.3881,-111.9318
Arizona,Pima,Tucson,University of Arizona,2643,AZ,04019,32.1545,-110.8782
Arizona,Maricopa,Phoenix,Grand Canyon University,474,AZ,04013,33.5722,-112.0891
Arizona,Coconino,Flagstaff,Northern Arizona University,278,AZ,04005,35.1872,-111.6195
Arizona,Maricopa,Glendale,Midwestern University at Glendale,96,AZ,04013,33.5791,-112.2311
Arizona,Yavapai,Prescott,Embry-Riddle Aeronautical University at Prescott,45,AZ,04025,34.585,-112.4475
Arizona,Yuma,Yuma,Arizona Western College,41,AZ,04027,32.5992,-114.5488
Arizona,Apache,Tsaile,Dine College,5,AZ,04001,36.3033,-109.2157
Arizona,Mohave,Kingman,Mohave Community College,0,AZ,04015,35.217,-114.0105
Arkansas,Washington,Fayetteville,University of Arkansas,2452,AR,05143,36.0713,-94.166
Arkansas,Craighead,Jonesboro,Arkansas State University,1026,AR,05031,35.8212,-90.6791
Arkansas,Conway,Conway,University of Central Arkansas,481,AR,05045,35.0754,-92.4694
Arkansas,Pope,Russellville,Arkansas Tech University,402,AR,05115,35.2763,-93.1383
Arkansas,White,Searcy,Harding University,340,AR,05145,35.2418,-91.7351
Arkansas,Columbia,Magnolia,Southern Arkansas University,184,AR,05027,33.2774,-93.2261
Arkansas,Jefferson,Pine Bluff,University of Arkansas at Pine Bluff,184,AR,05069,34.2116,-92.0178
Arkansas,Clark,Arkadelphia,Ouachita Baptist University,183,AR,05019,34.1255,-93.0725
Arkansas,Pulaski,Little Rock,University of Arkansas at Little Rock,183,AR,05119,34.7256,-92.3576
Arkansas,Sebastian,Fort Smith,University of Arkansas at Fort Smith,133,AR,05131,35.3493,-94.3695
California,San Diego,San Diego,San Diego State University System,1450,CA,06073,32.8312,-117.1225
California,San Luis Obispo,San Luis Obispo,"California Polytechnic State University, San Luis Obispo",626,CA,06079,35.2669,-120.6691
California,Los Angeles,Los Angeles,University of Southern California,608,CA,06037,34.1139,-118.4068
California,San Diego,San Diego,"University of California, San Diego",497,CA,06073,32.8312,-117.1225
California,Los Angeles,Los Angeles,"University of California, Los Angeles",386,CA,06037,34.1139,-118.4068
California,San Francisco,San Francisco,"University of California, San Francisco",307,CA,06075,37.7562,-122.443
California,Alameda,Berkeley,"University of California, Berkeley",249,CA,06001,37.8723,-122.276
California,Butte,Chico,"California State University, Chico",208,CA,06007,39.7575,-121.8152
California,San Diego,San Diego,University of San Diego,196,CA,06073,32.8312,-117.1225
California,Orange,Irvine,"University of California, Irvine",181,CA,06059,33.6772,-117.7738
Colorado,Boulder,Boulder,University of Colorado Boulder,2236,CO,08013,40.0249,-105.2523
Colorado,Larimer,Fort Collins,Colorado State University,1149,CO,08069,40.5478,-105.0656
Colorado,Mesa,Grand Junction,Colorado Mesa University,578,CO,08077,39.0876,-108.5673
Colorado,Denver,Denver,University of Denver,289,CO,08031,39.7621,-104.8759
Colorado,Jefferson,Golden,Colorado School of Mines,266,CO,08059,39.7406,-105.2118
Colorado,Weld,Greeley,University of Northern Colorado,262,CO,08123,40.4151,-104.7706
Colorado,Pueblo,Pueblo,Colorado State University-Pueblo,164,CO,08101,38.2705,-104.6112
Colorado,El Paso,Colorado Springs,University of Colorado Colorado Springs,140,CO,08041,38.8674,-104.7606
Colorado,La Plata,Durango,Fort Lewis College,134,CO,08067,37.2659,-107.8782
Colorado,Denver,Denver,Regis University,134,CO,08031,39.7621,-104.8759
Connecticut,Fairfield,Fairfield,Sacred Heart University,725,NA,NA,41.220893,-73.243332
Connecticut,Tolland,Storrs,University of Connecticut,673,CT,09013,41.8045,-72.2552
Connecticut,Fairfield,Fairfield,Fairfield University,586,NA,NA,41.157673,-73.255903
Connecticut,New Haven,Hamden,Quinnipiac University,422,NA,NA,41.418915,-72.894117
Connecticut,New Haven,New Haven,Yale University,366,CT,09009,41.3112,-72.9246
Connecticut,New Haven,West Haven,University of New Haven,190,CT,09009,41.2739,-72.9672
Connecticut,Hartford,New Britain,Central Connecticut State University,136,CT,09003,41.6758,-72.7862
Connecticut,Hartford,Hartford,Trinity College,113,CT,09003,41.7661,-72.6834
Connecticut,New Haven,New Haven,Southern Connecticut State University,111,CT,09009,41.3112,-72.9246
Connecticut,Hartford,West Hartford,University of Hartford,85,NA,NA,41.798591,-72.715213
Delaware,New Castle,Newark,University of Delaware,683,DE,10003,39.6776,-75.7573
Delaware,Kent,Dover,Delaware State University,77,DE,10001,39.161,-75.5203
Delaware,Sussex,Georgetown,Delaware Technical Community College Georgetown,45,DE,10005,38.6894,-75.387200000000007
Delaware,New Castle,Stanton,Delaware Technical Community College Stanton,20,NA,NA,NA,NA
Delaware,Kent,Dover,Wesley College,20,DE,10001,39.161,-75.5203
Delaware,Kent,Dover,Delaware Technical Community College Dover,7,DE,10001,39.161,-75.5203
Delaware,New Castle,Wilmington,Goldey-Beacom College,0,DE,10003,39.7415,-75.5413
Delaware,New Castle,New Castle,Wilmington University,NA,DE,10003,39.6685,-75.5692
Florida,Alachua,Gainesville,University of Florida,5008,FL,12001,29.6804,-82.3458
Florida,Orange,Orlando,University of Central Florida,2100,FL,12095,28.4772,-81.3369
Florida,Leon,Tallahassee,Florida State University,1738,FL,12073,30.4551,-84.2526
Florida,Miami-Dade,Miami,University of Miami,1164,FL,12086,25.7839,-80.2102
Florida,Hillsborough,Tampa,University of South Florida,864,FL,12057,27.9942,-82.4451
Florida,Hillsborough,Tampa,University of Tampa,793,FL,12057,27.9942,-82.4451
Florida,Lee,Fort Myers,Florida Gulf Coast University,429,FL,12071,26.6195,-81.8303
Florida,Palm Beach,Boca Raton,Florida Atlantic University,346,FL,12099,26.3752,-80.108
Florida,Duval,Jacksonville,University of North Florida,292,FL,12031,30.3322,-81.6749
Florida,Miami-Dade,Miami,Florida International University,240,FL,12086,25.7839,-80.2102
Georgia,Clarke,Athens,University of Georgia,4387,GA,13059,33.9508,-83.3689
Georgia,Fulton,Atlanta,Georgia Institute of Technology,1323,GA,13121,33.7627,-84.4224
Georgia,Bulloch,Statesboro,Georgia Southern University,1287,GA,13031,32.4376,-81.775
Georgia,Baldwin,Milledgeville,Georgia College & State University,757,GA,13009,33.0874,-83.2414
Georgia,Cobb,Kennesaw,Kennesaw State University,656,GA,13067,34.026,-84.6177
Georgia,Lumpkin,Dahlonega,University of North Georgia,539,GA,13187,34.5309,-83.9804
Georgia,Bibb,Macon,Mercer University,334,GA,13021,32.8065,-83.6974
Georgia,Richmond,Augusta,Augusta University,327,GA,13245,33.3645,-82.0708
Georgia,Fulton,Atlanta,Georgia State University,319,GA,13121,33.7627,-84.4224
Georgia,Fulton,Atlanta,Emory University,291,GA,13121,33.7627,-84.4224
Hawaii,Honolulu,Honolulu,University of Hawaii at Manoa,36,HI,15003,21.3294,-157.846
Hawaii,Honolulu,Laie,Brigham Young University-Hawaii,6,HI,15003,21.6443,-157.928
Hawaii,Honolulu,Honolulu,Kapiolani Community College,4,HI,15003,21.3294,-157.846
Hawaii,Hawaii,Hilo,University of Hawaii at Hilo,4,HI,15001,19.6886,-155.0864
Hawaii,Honolulu,Pearl City,Leeward Community College,3,HI,15003,21.4031,-157.9566
Hawaii,Honolulu,Honolulu,Hawaii Pacific University,1,HI,15003,21.3294,-157.846
Hawaii,Maui,Kahului,University of Hawaii Maui College,1,HI,15009,20.8715,-156.4603
