"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-11-28","SC","A+",4346,4043,0,303,11802,11802,879,8,,236,2155322,29405,78542,,2091449,,117,214911,201354,1791,0,11778,25133,,,265230,112978,,0,2370233,31196,90320,219009,,,,0,2356679,31224
"2020-11-27","SC","A+",4346,4043,29,303,11794,11794,884,57,,236,2125917,28659,78143,,2062537,,119,213120,199538,2215,0,11625,24958,,,262918,112233,,0,2339037,30874,89768,216396,,,,0,2325455,30545
"2020-11-26","SC","A+",4317,4015,0,302,11737,11737,940,0,,227,2097258,0,77529,,2034433,,108,210905,197652,0,0,11318,24415,,,260477,111013,,0,2308163,0,88847,207854,,,,0,2294910,0
"2020-11-25","SC","A+",4317,4015,4,302,11737,11737,940,82,,227,2097258,18996,77529,,2034433,,108,210905,197652,1675,0,11318,24415,,,260477,111013,,0,2308163,20671,88847,207854,,,,0,2294910,20318
"2020-11-24","SC","A+",4313,4010,25,303,11655,11655,873,92,,211,2078262,18209,77361,,2015801,,83,209230,196330,1678,0,11213,23722,,,258791,109724,,0,2287492,19887,88574,199415,,,,0,2274592,19637
"2020-11-23","SC","A+",4288,3987,5,301,11563,11563,844,33,,216,2060053,19780,77189,,1998108,,92,207552,194902,1257,0,11126,23220,,,256847,108469,,0,2267605,21037,88315,193630,,,,0,2254955,20895
"2020-11-22","SC","A+",4283,3982,9,301,11530,11530,809,35,,201,2040273,20039,76867,,1978630,,93,206295,193787,1277,0,10982,22979,,,255430,107683,,0,2246568,21316,87849,191023,,,,0,2234060,21181
"2020-11-21","SC","A+",4274,3974,43,300,11495,11495,816,40,,188,2020234,30647,76564,,1958876,,90,205018,192645,1857,0,10833,22792,,,254003,106828,,0,2225252,32504,87397,188702,,,,0,2212879,32271
"2020-11-20","SC","A+",4231,3949,30,282,11455,11455,808,53,,203,1989587,28620,76067,,1928848,,106,203161,191021,2001,0,10574,22461,,,251760,105856,,0,2192748,30621,86641,183196,,,,0,2180608,30390
"2020-11-19","SC","A+",4201,3924,19,277,11402,11402,815,53,,203,1960967,22125,75667,,1900672,,108,201160,189251,1713,0,10376,22053,,,249546,104997,,0,2162127,23838,86043,177011,,,,0,2150218,23602
"2020-11-18","SC","A+",4182,3906,26,276,11349,11349,830,54,,219,1938842,14419,75309,,1878902,,105,199447,187774,1547,0,10211,21630,,,247714,103996,,0,2138289,15966,85520,172583,,,,0,2126616,15665
"2020-11-17","SC","A+",4156,3884,13,272,11295,11295,800,62,,224,1924423,15507,75134,,1864993,,106,197900,186528,1283,0,10146,21124,,,245958,103154,,0,2122323,16790,85280,167198,,,,0,2110951,16645
"2020-11-16","SC","A+",4143,3873,31,270,11233,11233,769,22,,210,1908916,13834,74992,,1849769,,102,196617,185390,1110,0,10125,20732,,,244537,102038,,0,2105533,14944,85117,161448,,,,0,2094306,14864
"2020-11-15","SC","A+",4112,3846,2,266,11211,11211,752,29,,192,1895082,16956,74800,,1836132,,86,195507,184360,1493,0,10064,20592,,,243310,101388,,0,2090589,18449,84864,160440,,,,0,2079442,18373
"2020-11-14","SC","A+",4110,3844,9,266,11182,11182,781,35,,183,1878126,39233,74614,,1819465,,93,194014,182943,1913,0,9988,20442,,,241604,100742,,0,2072140,41146,84602,158740,,,,0,2061069,40933
"2020-11-13","SC","A+",4101,3835,17,266,11147,11147,775,63,,188,1838893,8438,74215,,1781234,,89,192101,181243,1611,0,9783,19980,,,238902,100074,,0,2030994,10049,83998,151564,,,,0,2020136,9849
"2020-11-12","SC","A+",4084,3817,8,267,11084,11084,810,60,,196,1830455,18741,74045,,1772990,,91,190490,179832,1495,0,9731,19620,,,237297,99368,,0,2020945,20236,83776,149728,,,,0,2010287,20049
"2020-11-11","SC","A+",4076,3809,14,267,11024,11024,780,58,,198,1811714,10940,73829,,1754669,,97,188995,178524,1257,0,9650,19332,,,235569,98621,,0,2000709,12197,83479,146367,,,,0,1990238,11949
"2020-11-10","SC","A+",4062,3795,21,267,10966,10966,784,82,,197,1800774,19940,73707,,1744162,,104,187738,177515,1347,0,9523,18900,,,234127,97765,,0,1988512,21287,83290,141266,,,,0,1978289,21082
"2020-11-09","SC","A+",4041,3778,5,263,10884,10884,746,30,,194,1780834,7420,73458,,1725001,,101,186391,176373,703,0,9523,18544,,,232206,96909,,0,1967225,8123,82981,136772,,,,0,1957207,8063
"2020-11-08","SC","A+",4036,3776,21,260,10854,10854,718,20,,184,1773414,13228,73421,,1717658,,89,185688,175730,946,0,9518,18494,,,231486,96422,,0,1959102,14174,82939,136308,,,,0,1949144,14096
"2020-11-07","SC","A+",4015,3756,10,259,10834,10834,740,58,,180,1760186,45961,73044,,1704603,,89,184742,174862,1870,0,9425,18430,,,230445,95754,,0,1944928,47831,82469,135415,,,,0,1935048,47637
"2020-11-06","SC","A+",4005,3748,13,257,10776,10776,767,50,,204,1714225,22579,72567,,1659483,,91,182872,173186,1233,0,9278,18123,,,227928,95045,,0,1897097,23812,81845,130900,,,,0,1887411,23549
"2020-11-05","SC","A+",3992,3736,7,256,10726,10726,755,70,,214,1691646,6628,72237,,1637644,,102,181639,172216,769,0,9176,17719,,,226218,94333,,0,1873285,7397,81413,126687,,,,0,1863862,7202
"2020-11-04","SC","A+",3985,3728,17,257,10656,10656,783,57,,210,1685018,9847,72151,,1631123,,112,180870,171642,918,0,9162,17465,,,225537,93533,,0,1865888,10765,81313,124113,,,,0,1856660,10627
"2020-11-03","SC","A+",3968,3713,22,255,10599,10599,737,66,,202,1675171,12050,72029,,1621681,,104,179952,170862,1035,0,9130,17251,,,224352,92763,,0,1855123,13085,81159,121231,,,,0,1846033,12864
"2020-11-02","SC","A+",3946,3697,10,249,10533,10533,749,19,,204,1663121,13792,71844,,1610128,,88,178917,170048,894,0,9107,16969,,,223041,91934,,0,1842038,14686,80951,117152,,,,0,1833169,14612
"2020-11-01","SC","A+",3936,3687,1,249,10514,10514,773,14,,190,1649329,23891,71712,,1596565,,93,178023,169228,1411,0,9083,16869,,,221992,91466,,0,1827352,25302,80795,116139,,,,0,1818557,25234
"2020-10-31","SC","A+",3935,3686,39,249,10500,10500,789,48,,197,1625438,12672,71287,,1573073,,80,176612,167885,1018,0,8981,16670,,,220250,90994,,0,1802050,13690,80268,114891,,,,0,1793323,13500
"2020-10-30","SC","A+",3896,3653,7,243,10452,10452,777,48,,196,1612766,13615,71021,,1560716,,93,175594,167057,1003,0,8901,16388,,,219107,90215,,0,1788360,14618,79922,112467,,,,0,1779823,14328
"2020-10-29","SC","A+",3889,3645,13,244,10404,10404,800,59,,202,1599151,18861,70886,,1547512,,97,174591,166344,1100,0,8874,16203,,,217983,89472,,0,1773742,19961,79760,109636,,,,0,1765495,19728
"2020-10-28","SC","A+",3876,3634,34,242,10345,10345,810,59,,201,1580290,7843,70568,,1529192,,95,173491,165477,912,0,8797,16016,,,216575,88761,,0,1753781,8755,79365,106595,,,,0,1745767,8518
"2020-10-27","SC","A+",3842,3602,19,240,10286,10286,746,50,,188,1572447,10716,70328,,1521519,,93,172579,164802,1078,0,8661,15735,,,215730,87892,,0,1745026,11794,78989,103477,,,,0,1737249,11572
"2020-10-26","SC","A+",3823,3587,21,236,10236,10236,737,12,,201,1561731,25995,70263,,1511121,,93,171501,163946,823,0,8624,15411,,,214556,86928,,0,1733232,26818,78887,99939,,,,0,1725677,26798
"2020-10-25","SC","A+",3802,3567,9,235,10224,10224,725,12,,206,1535736,25993,70079,,1485359,,95,170678,163143,1337,0,8587,15305,,,213520,86524,,0,1706414,27330,78666,98080,,,,0,1698879,27300
"2020-10-24","SC","A+",3793,3560,16,233,10212,10212,743,51,,200,1509743,10791,69729,,1459763,,97,169341,161836,792,0,8480,15204,,,211816,86031,,0,1679084,11583,78209,97080,,,,0,1671579,11392
"2020-10-23","SC","A+",3777,3545,22,232,10161,10161,718,59,,191,1498952,17086,69440,,1449305,,96,168549,161235,1064,0,8423,14993,,,210882,85420,,0,1667501,18150,77863,95199,,,,0,1660187,17937
"2020-10-22","SC","A+",3755,3526,47,229,10102,10102,766,40,,185,1481866,14674,69308,,1432507,,91,167485,160384,1128,0,8314,14678,,,209743,84761,,0,1649351,15802,77622,90041,,,,0,1642250,15625
