state,county,city,college,cases
Alabama,Tuscaloosa,Tuscaloosa,University of Alabama,3219
Alabama,Jefferson,Birmingham,University of Alabama at Birmingham,2119
Alabama,Lee,Auburn,Auburn University,2079
Alabama,Pike,Troy,Troy University,715
Alabama,Jefferson,Birmingham,Samford University,461
Alaska,Fairbanks North Star Borough,Fairbanks,University of Alaska Fairbanks,104
Alaska,Anchorage Municipality,Anchorage,University of Alaska Anchorage,11
Alaska,Juneau City and Borough,Juneau,University of Alaska Southeast,1
Alaska,North Slope Borough,Utqiagvik,Ilisagvik College,NA
Arizona,Maricopa,Tempe,Arizona State University,2862
Arizona,Pima,Tucson,University of Arizona,2643
Arizona,Maricopa,Phoenix,Grand Canyon University,474
Arizona,Coconino,Flagstaff,Northern Arizona University,278
Arizona,Maricopa,Glendale,Midwestern University at Glendale,96
Arkansas,Washington,Fayetteville,University of Arkansas,2452
Arkansas,Craighead,Jonesboro,Arkansas State University,1026
Arkansas,Conway,Conway,University of Central Arkansas,481
Arkansas,Pope,Russellville,Arkansas Tech University,402
Arkansas,White,Searcy,Harding University,340
California,San Diego,San Diego,San Diego State University System,1450
California,San Luis Obispo,San Luis Obispo,"California Polytechnic State University, San Luis Obispo",626
California,Los Angeles,Los Angeles,University of Southern California,608
California,San Diego,San Diego,"University of California, San Diego",497
California,Los Angeles,Los Angeles,"University of California, Los Angeles",386
Colorado,Boulder,Boulder,University of Colorado Boulder,2236
Colorado,Larimer,Fort Collins,Colorado State University,1149
Colorado,Mesa,Grand Junction,Colorado Mesa University,578
Colorado,Denver,Denver,University of Denver,289
Colorado,Jefferson,Golden,Colorado School of Mines,266
Connecticut,Fairfield,Fairfield,Sacred Heart University,725
Connecticut,Tolland,Storrs,University of Connecticut,673
Connecticut,Fairfield,Fairfield,Fairfield University,586
Connecticut,New Haven,Hamden,Quinnipiac University,422
Connecticut,New Haven,New Haven,Yale University,366
Delaware,New Castle,Newark,University of Delaware,683
Delaware,Kent,Dover,Delaware State University,77
Delaware,Sussex,Georgetown,Delaware Technical Community College Georgetown,45
Delaware,New Castle,Stanton,Delaware Technical Community College Stanton,20
Delaware,Kent,Dover,Wesley College,20
Florida,Alachua,Gainesville,University of Florida,5008
Florida,Orange,Orlando,University of Central Florida,2100
Florida,Leon,Tallahassee,Florida State University,1738
Florida,Miami-Dade,Miami,University of Miami,1164
Florida,Hillsborough,Tampa,University of South Florida,864
Georgia,Clarke,Athens,University of Georgia,4387
Georgia,Fulton,Atlanta,Georgia Institute of Technology,1323
Georgia,Bulloch,Statesboro,Georgia Southern University,1287
Georgia,Baldwin,Milledgeville,Georgia College & State University,757
Georgia,Cobb,Kennesaw,Kennesaw State University,656
Hawaii,Honolulu,Honolulu,University of Hawaii at Manoa,36
Hawaii,Honolulu,Laie,Brigham Young University-Hawaii,6
Hawaii,Honolulu,Honolulu,Kapiolani Community College,4
Hawaii,Hawaii,Hilo,University of Hawaii at Hilo,4
Hawaii,Honolulu,Pearl City,Leeward Community College,3
Idaho,Madison,Rexburg,Brigham Young University-Idaho,1292
Idaho,Ada,Boise,Boise State University,796
Idaho,Latah,Moscow,University of Idaho,543
Idaho,Bannock,Pocatello,Idaho State University,498
Idaho,Twin Falls,Twin Falls,College of Southern Idaho,199
Illinois,Champaign,Champaign,University of Illinois Urbana-Champaign,3892
Illinois,McLean,Normal,Illinois State University,1771
Illinois,Cook,Chicago,University of Illinois at Chicago,699
Illinois,Dekalb,Dekalb,Northern Illinois University,500
Illinois,Coles,Charleston,Eastern Illinois University,445
Indiana,Monroe,Bloomington,Indiana University Bloomington,3754
Indiana,Tippecanoe,West Lafayette,Purdue University,2700
Indiana,St. Joseph,Notre Dame,University of Notre Dame,1665
Indiana,Delaware,Muncie,Ball State University,1283
Indiana,Vanderburgh,Evansville,University of Southern Indiana,489
Iowa,Johnson,Iowa City,University of Iowa,2749
Iowa,Story,Ames,Iowa State University,2169
Iowa,Black Hawk,Cedar Falls,University of Northern Iowa,438
Iowa,Black Hawk,Waterloo,Hawkeye Community College,259
Iowa,Scott,Davenport,Saint Ambrose University,225
Kansas,Douglas,Lawrence,University of Kansas,1249
Kansas,Riley,Manhattan,Kansas State University,1183
Kansas,Ellis,Hays,Fort Hays State University,307
Kansas,Crawford,Pittsburg,Pittsburg State University,286
Kansas,Shawnee,Topeka,Washburn University,215
Kentucky,Fayette,Lexington,University of Kentucky,2845
Kentucky,Jefferson,Louisville,University of Louisville,1259
Kentucky,Warren,Bowling Green,Western Kentucky University,904
Kentucky,Calloway,Murray,Murray State University,437
Kentucky,Madison,Richmond,Eastern Kentucky University,372
Louisiana,East Baton Rouge,Baton Rouge,Louisiana State University,1354
Louisiana,Orleans,New Orleans,Tulane University of Louisiana,1189
Louisiana,Lincoln,Ruston,Louisiana Tech University,480
Louisiana,Lafayette,Lafeyette,University of Louisiana at Lafayette,464
Louisiana,Natchitoches,Natchitoches,Northwestern State University of Louisiana,349
Maine,Penobscot,Orono,University of Maine,47
Maine,York,Biddeford,University of New England,26
Maine,Cumberland,Portland,University of Southern Maine,21
Maine,Kennebec,Waterville,Colby College,15
Maine,Cumberland,Standish,Saint Joseph's College of Maine,15
Maryland,Prince George's,College Park,"University of Maryland, College Park",952
Maryland,Baltimore City,Baltimore,Johns Hopkins University,596
Maryland,Wicomico,Salisbury,Salisbury University,507
Maryland,Baltimore,Towson,Towson University,502
Maryland,Allegany,Frostburg,Frostburg State University,158
Massachusetts,Suffolk,Boston,Boston University,362
Massachusetts,Hampshire,Amherst,University of Massachusetts Amherst,322
Massachusetts,Middlesex,Chestnut Hill,Boston College,293
Massachusetts,Suffolk,Boston,Northeastern University,275
Massachusetts,Middlesex,Cambridge,Harvard University,205
Michigan,Washtenaw,Ann Arbor,University of Michigan,2545
Michigan,Ingham,East Lansing,Michigan State University,2057
Michigan,Ottawa,Allendale,Grand Valley State University,1563
Michigan,Kalamazoo,Kalamazoo,Western Michigan University,1068
Michigan,Isabella,Mount Pleasant,Central Michigan University,596
Minnesota,Hennepin,Minneapolis,University of Minnesota Twin Cities,809
Minnesota,Winona,Winona,Winona State University,546
Minnesota,Ramsey,St. Paul,University of St. Thomas,495
Minnesota,Blue Earth,Mankato,"Minnesota State University, Mankato",393
Minnesota,St. Louis,Duluth,University of Minnesota Duluth,344
Mississippi,Lafayette,Oxford,University of Mississippi,836
Mississippi,Hinds,Jackson,University of Mississippi Medical Center,711
Mississippi,Oktibbeha,Mississippi State,Mississippi State University,657
Mississippi,Forrest,Hattiesburg,University of Southern Mississippi,411
Mississippi,Hinds,Clinton,Mississippi College,169
Missouri,Boone,Columbia,University of Missouri,2469
